Player,Pos,G,GS,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Kostas Antetokounmpo,PF,5,0,4.0,0.6,1.0,0.0,,0.6,1.0,1.0,0.2,0.5,0.4,0.2,0.6,0.4,0.0,0.0,0.2,0.4,1.4,-0.7
Thanasis Antetokounmpo,SF,20,2,6.5,1.2,0.5,0.0,0.0,1.2,0.632,0.5,0.4,0.41200000000000003,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9,2.8,-3.2
Carmelo Anthony,PF,58,58,32.8,5.8,0.43,1.5,0.385,4.3,0.44799999999999995,0.485,2.3,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,-3.6
OG Anunoby,SF,69,68,29.9,4.1,0.505,1.3,0.39,2.9,0.583,0.584,1.0,0.706,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4,10.6,1.2
Ryan Arcidiacono,PG,58,4,16.0,1.6,0.409,0.9,0.391,0.6,0.439,0.532,0.5,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5,-2.8
Trevor Ariza,SF,53,21,28.2,2.7,0.43799999999999994,1.5,0.37200000000000005,1.2,0.556,0.557,1.2,0.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0,-0.5
D.J. Augustin,PG,57,13,24.9,3.2,0.39899999999999997,1.2,0.348,2.0,0.43799999999999994,0.475,2.8,0.89,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5,-1.6
Deandre Ayton,C,38,32,32.5,8.2,0.546,0.1,0.231,8.1,0.5529999999999999,0.5479999999999999,1.8,0.753,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1,18.2,0.4
Dwayne Bacon,SG,39,11,17.6,2.2,0.348,0.5,0.284,1.7,0.373,0.387,0.9,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,-6.8
Marvin Bagley III,PF,13,6,25.7,6.0,0.467,0.3,0.182,5.7,0.51,0.479,1.9,0.8059999999999999,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,-3.5
Lonzo Ball,PG,63,54,32.1,4.4,0.40299999999999997,2.3,0.375,2.0,0.442,0.511,0.7,0.5660000000000001,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0,11.8,0.6
Mo Bamba,C,62,0,14.2,2.1,0.462,0.6,0.34600000000000003,1.5,0.531,0.526,0.5,0.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4,0.4
J.J. Barea,PG,29,6,15.5,2.9,0.41100000000000003,1.1,0.376,1.8,0.434,0.488,0.7,0.909,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9,7.7,-1.4
Harrison Barnes,PF,72,72,34.5,5.1,0.46,1.4,0.381,3.7,0.501,0.525,3.0,0.8009999999999999,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3,14.5,-1.3
RJ Barrett,SG,56,55,30.4,5.2,0.402,1.1,0.32,4.1,0.43200000000000005,0.445,2.8,0.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3,-4.3
Will Barton,SF,58,58,33.0,5.7,0.45,1.9,0.375,3.9,0.498,0.523,1.8,0.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,1.1
Keita Bates-Diop,SF,44,0,16.9,2.3,0.42700000000000005,0.8,0.33,1.5,0.504,0.5,1.2,0.72,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0,6.5,-1.4
Nicolas Batum,SF,22,3,23.0,1.3,0.34600000000000003,0.6,0.28600000000000003,0.6,0.43799999999999994,0.43200000000000005,0.4,0.9,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,-1.9
Aron Baynes,C,42,28,22.2,4.4,0.48,1.4,0.35100000000000003,3.0,0.5820000000000001,0.5579999999999999,1.3,0.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,-1.0
Kent Bazemore,SF-SG,68,21,24.8,2.9,0.375,1.2,0.344,1.7,0.4,0.45299999999999996,1.7,0.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,-3.1
Darius Bazley,PF,61,9,18.5,2.0,0.39399999999999996,0.8,0.348,1.2,0.43200000000000005,0.47200000000000003,0.7,0.6940000000000001,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9,5.6,-1.6
Bradley Beal,SG,57,57,36.0,10.4,0.455,3.0,0.353,7.4,0.515,0.52,6.8,0.8420000000000001,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,2.9
Malik Beasley,SG,55,14,22.0,4.1,0.425,1.9,0.38799999999999996,2.2,0.465,0.525,1.0,0.818,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4,11.2,-2.1
Marco Belinelli,SG,57,0,15.5,2.2,0.392,1.2,0.376,1.0,0.41200000000000003,0.498,0.8,0.828,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3,-2.7
Jordan Bell,C-PF,29,0,8.8,1.2,0.522,0.1,0.33299999999999996,1.1,0.564,0.552,0.7,0.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2,-2.5
DeAndre' Bembry,SG,43,4,21.3,2.4,0.456,0.3,0.231,2.1,0.546,0.489,0.6,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,-2.5
Dragan Bender,SF,16,3,17.9,2.6,0.446,0.9,0.349,1.6,0.531,0.527,0.6,0.7140000000000001,1.0,3.6,4.6,1.8,0.3,0.6,1.3,2.6,6.7,-3.0
Dāvis Bertāns,PF,54,4,29.3,4.9,0.434,3.7,0.424,1.2,0.47100000000000003,0.598,1.9,0.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4,0.9
Patrick Beverley,PG,51,50,26.3,2.9,0.431,1.6,0.38799999999999996,1.3,0.496,0.5479999999999999,0.6,0.66,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9,2.2
Khem Birch,C,48,24,19.2,1.5,0.51,0.0,0.0,1.5,0.514,0.51,1.4,0.653,1.9,2.7,4.6,1.0,0.4,0.5,0.6,1.9,4.4,-2.4
Goga Bitadze,C,54,2,8.7,1.3,0.467,0.1,0.19,1.1,0.574,0.493,0.4,0.727,0.5,1.5,2.0,0.4,0.2,0.7,0.5,1.2,3.2,-2.3
Bismack Biyombo,C,53,29,19.4,2.8,0.5429999999999999,0.0,,2.8,0.5429999999999999,0.5429999999999999,1.7,0.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4,-2.5
Nemanja Bjelica,PF,72,67,27.9,4.4,0.48100000000000004,1.9,0.419,2.5,0.541,0.583,1.0,0.821,1.5,4.8,6.4,2.8,0.9,0.6,1.4,3.0,11.5,1.7
Eric Bledsoe,PG,61,61,27.0,5.5,0.475,1.2,0.344,4.3,0.5329999999999999,0.528,2.8,0.79,0.7,3.9,4.6,5.4,0.9,0.4,2.4,2.1,14.9,1.8
Bogdan Bogdanović,SG,61,28,29.0,5.5,0.44,2.7,0.37200000000000005,2.8,0.532,0.547,1.4,0.741,0.4,3.0,3.4,3.4,1.0,0.2,1.7,2.2,15.1,0.6
Bojan Bogdanović,SF,63,63,33.1,6.6,0.447,3.0,0.414,3.6,0.479,0.5479999999999999,4.0,0.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2,0.1
Bol Bol,SF,7,0,12.4,2.0,0.5,0.6,0.444,1.4,0.526,0.5710000000000001,1.1,0.8,0.7,2.0,2.7,0.9,0.3,0.9,1.4,1.6,5.7,-2.9
Jonah Bolden,PF,7,0,6.7,0.6,0.364,0.0,0.0,0.6,0.5710000000000001,0.364,0.3,0.5,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4,-8.8
Marques Bolden,C,1,0,3.0,0.0,,0.0,,0.0,,,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,5.4
Jordan Bone,PG,10,0,5.3,0.5,0.25,0.2,0.2,0.3,0.3,0.3,0.0,,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2,-11.9
Isaac Bonga,SF,66,49,18.9,1.8,0.504,0.4,0.35200000000000004,1.4,0.5710000000000001,0.5579999999999999,1.0,0.812,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4,5.0,-2.8
Devin Booker,SG,70,70,35.9,9.0,0.489,2.0,0.354,6.9,0.5489999999999999,0.544,6.7,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0,26.6,2.2
Chris Boucher,PF,62,0,13.2,2.3,0.47200000000000003,0.6,0.322,1.7,0.569,0.535,1.5,0.784,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6,2.0
Brian Bowen,SG,6,1,5.2,0.5,0.3,0.0,0.0,0.5,0.375,0.3,0.0,,0.2,1.0,1.2,0.0,0.0,0.2,0.2,0.5,1.0,-10.7
Ky Bowman,PG,45,12,22.6,3.0,0.41700000000000004,0.7,0.308,2.2,0.47200000000000003,0.469,0.8,0.8290000000000001,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4,-4.3
Avery Bradley,SG,49,44,24.2,3.5,0.444,1.3,0.364,2.2,0.51,0.526,0.4,0.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6,-2.5
Tony Bradley,C,58,3,11.4,2.2,0.667,0.1,1.0,2.1,0.6609999999999999,0.675,0.5,0.652,1.9,2.7,4.6,0.4,0.2,0.6,0.5,2.0,4.9,1.3
Jarrell Brantley,PF,9,0,10.7,1.1,0.35700000000000004,0.3,0.231,0.8,0.467,0.41100000000000003,0.1,0.5,0.2,2.0,2.2,1.2,0.3,0.6,0.8,0.8,2.7,-4.6
Ignas Brazdeikis,SF,9,0,5.9,0.7,0.273,0.1,0.111,0.6,0.385,0.295,0.4,0.8,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9,-9.0
Corey Brewer,SG,5,0,6.6,0.4,0.5,0.0,0.0,0.4,0.667,0.5,0.2,0.33299999999999996,0.4,1.2,1.6,0.4,0.8,0.0,0.4,1.4,1.0,-3.1
Mikal Bridges,SF,73,32,28.0,3.4,0.51,1.0,0.361,2.4,0.61,0.583,1.4,0.8440000000000001,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,9.1,0.8
Miles Bridges,SF,65,64,30.7,4.9,0.424,1.5,0.33,3.4,0.486,0.489,1.6,0.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0,-2.5
Oshae Brissett,SF,19,0,7.1,0.7,0.361,0.2,0.2,0.5,0.47600000000000003,0.40299999999999997,0.4,0.8,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9,-5.4
Ryan Broekhoff,SG,17,1,10.6,1.3,0.373,1.2,0.392,0.1,0.25,0.542,0.4,0.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2,0.7
Malcolm Brogdon,PG,54,54,30.9,6.0,0.43799999999999994,1.4,0.326,4.6,0.488,0.489,3.1,0.892,0.9,4.0,4.9,7.1,0.6,0.2,2.4,1.8,16.5,1.8
Dillon Brooks,SG,73,73,28.9,6.0,0.40700000000000003,2.0,0.358,3.9,0.43799999999999994,0.47600000000000003,2.2,0.8079999999999999,0.9,2.4,3.3,2.1,0.9,0.4,1.7,3.8,16.2,-4.1
Bruce Brown,SG,58,43,28.2,3.4,0.44299999999999995,0.6,0.344,2.8,0.47,0.48,1.5,0.7390000000000001,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9,-1.2
Charlie Brown,SG,10,0,4.0,0.6,0.316,0.3,0.33299999999999996,0.3,0.3,0.395,0.5,1.0,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0,-2.5
Jaylen Brown,SF,57,57,33.9,7.5,0.48100000000000004,2.3,0.382,5.2,0.5429999999999999,0.5539999999999999,3.1,0.7240000000000001,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3,0.8
Moses Brown,C,9,0,3.7,0.4,0.4,0.0,,0.4,0.4,0.4,0.3,0.375,0.3,1.2,1.6,0.1,0.1,0.1,0.3,0.8,1.2,-10.0
Sterling Brown,SF,52,1,14.8,1.8,0.371,0.8,0.324,1.0,0.425,0.457,0.6,0.8,0.6,2.9,3.5,1.0,0.6,0.1,0.8,1.0,5.1,-2.0
Troy Brown Jr.,SG,69,22,25.8,4.0,0.439,0.9,0.341,3.1,0.479,0.488,1.6,0.784,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9,10.4,-1.3
Jalen Brunson,PG,57,16,17.9,3.2,0.466,0.8,0.358,2.4,0.515,0.522,1.1,0.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2,-0.9
Thomas Bryant,C,46,36,24.9,5.3,0.581,0.8,0.40700000000000003,4.5,0.63,0.626,1.9,0.741,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2,13.2,2.2
Reggie Bullock,SG,29,19,23.6,3.1,0.402,1.3,0.33299999999999996,1.8,0.469,0.484,0.6,0.81,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1,-3.0
Trey Burke,PG,33,1,15.8,2.8,0.45,1.0,0.42700000000000005,1.9,0.46299999999999997,0.526,0.7,0.7929999999999999,0.5,1.0,1.5,2.5,0.5,0.1,0.6,1.0,7.4,-0.2
Alec Burks,SG,66,19,26.6,4.9,0.418,1.8,0.385,3.1,0.439,0.493,3.6,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0,0.5
Deonte Burton,SG,39,0,9.1,1.1,0.344,0.3,0.18899999999999997,0.8,0.45799999999999996,0.384,0.2,0.5710000000000001,0.2,1.3,1.5,0.4,0.2,0.3,0.5,0.9,2.7,-6.8
Jimmy Butler,SF,58,58,33.8,5.9,0.455,0.5,0.244,5.4,0.495,0.474,7.6,0.8340000000000001,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9,5.4
Bruno Caboclo,C,30,0,8.1,1.3,0.42700000000000005,0.2,0.182,1.1,0.5710000000000001,0.461,0.3,0.889,0.8,1.2,2.0,0.4,0.5,0.6,0.4,1.0,3.0,-2.1
Devontae Cacok,C,1,0,9.0,3.0,0.5,0.0,,3.0,0.5,0.5,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,0.2
Kentavious Caldwell-Pope,SG,69,26,25.5,3.4,0.467,1.3,0.385,2.1,0.541,0.5579999999999999,1.1,0.775,0.6,1.5,2.1,1.6,0.8,0.2,0.9,1.9,9.3,-0.8
Vlatko Čančar,SF,14,0,3.2,0.4,0.4,0.1,0.16699999999999998,0.4,0.556,0.433,0.3,1.0,0.4,0.4,0.7,0.2,0.1,0.1,0.2,0.5,1.2,-4.6
Clint Capela,C,39,39,32.8,6.3,0.629,0.0,,6.3,0.629,0.629,1.4,0.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9,1.4
DeMarre Carroll,SF-PF,24,0,12.1,1.0,0.379,0.3,0.242,0.7,0.515,0.439,1.2,0.69,0.5,1.8,2.3,1.0,0.3,0.2,0.7,1.3,3.6,-3.9
Jevon Carter,PG,58,2,16.3,1.7,0.41600000000000004,1.1,0.425,0.7,0.402,0.5429999999999999,0.4,0.852,0.5,1.5,2.0,1.4,0.8,0.3,0.6,1.5,4.9,0.6
Vince Carter,SF,60,0,14.6,1.8,0.35200000000000004,1.0,0.302,0.8,0.451,0.452,0.4,0.7929999999999999,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5.0,-4.3
Wendell Carter Jr.,C,43,43,29.2,4.3,0.534,0.1,0.207,4.1,0.564,0.542,2.6,0.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3,-2.4
Michael Carter-Williams,SG,45,0,18.5,2.5,0.42700000000000005,0.5,0.293,2.0,0.48100000000000004,0.469,1.8,0.8320000000000001,1.0,2.2,3.3,2.4,1.1,0.5,1.2,1.9,7.2,0.1
Alex Caruso,PG,64,2,18.4,1.9,0.41200000000000003,0.6,0.33299999999999996,1.3,0.46799999999999997,0.48100000000000004,1.1,0.7340000000000001,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5,-0.2
Willie Cauley-Stein,C,54,39,20.3,3.2,0.579,0.0,0.0,3.2,0.581,0.579,0.7,0.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2,0.5
Tyson Chandler,C,26,5,8.4,0.5,0.778,0.0,,0.5,0.778,0.778,0.2,0.462,1.0,1.6,2.5,0.2,0.2,0.3,0.3,1.2,1.3,-1.5
Wilson Chandler,SF,35,3,21.0,2.1,0.40399999999999997,1.1,0.306,1.1,0.597,0.505,0.6,0.87,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9,-2.7
Joe Chealey,PG,4,0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.3,1.0,0.0,0.5,0.5,0.5,-12.5
Zylan Cheatham,SF,4,0,12.8,1.5,0.667,0.0,0.0,1.5,0.75,0.667,0.0,,0.8,1.5,2.3,0.8,0.3,0.3,1.0,2.5,3.0,-7.1
Chris Chiozza,PG,28,2,14.3,2.0,0.39299999999999996,1.0,0.375,1.0,0.41200000000000003,0.489,0.2,1.0,0.3,1.6,1.9,3.0,0.8,0.1,1.1,1.3,5.1,-1.2
Marquese Chriss,PF,59,21,20.3,3.6,0.545,0.1,0.205,3.4,0.584,0.556,2.0,0.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3,0.6
Gary Clark,PF,42,5,13.5,1.3,0.406,0.9,0.35100000000000003,0.4,0.682,0.5529999999999999,0.2,0.9,0.9,1.7,2.6,0.4,0.1,0.5,0.2,1.1,3.7,-1.9
Brandon Clarke,PF,58,4,22.4,5.1,0.618,0.4,0.359,4.7,0.6579999999999999,0.642,1.5,0.759,1.6,4.4,5.9,1.4,0.6,0.8,0.9,1.7,12.1,3.1
Jordan Clarkson,SG,71,2,24.0,5.5,0.45399999999999996,2.1,0.368,3.4,0.5329999999999999,0.542,1.9,0.836,0.7,1.9,2.6,1.9,0.6,0.2,1.4,1.5,15.2,1.1
Nicolas Claxton,PF,15,0,12.5,1.8,0.563,0.1,0.14300000000000002,1.7,0.634,0.573,0.7,0.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4,-0.6
Chris Clemons,SG,33,0,8.8,1.7,0.401,1.1,0.34600000000000003,0.6,0.5710000000000001,0.532,0.3,0.909,0.1,0.8,0.9,0.8,0.3,0.2,0.6,0.8,4.9,-1.0
Antonius Cleveland,SG,11,0,4.2,0.4,0.28600000000000003,0.0,0.0,0.4,0.364,0.28600000000000003,0.3,0.6,0.2,0.5,0.6,0.1,0.1,0.3,0.2,0.7,1.0,-10.1
Amir Coffey,SG,18,1,8.8,1.3,0.426,0.3,0.316,0.9,0.486,0.48100000000000004,0.3,0.545,0.2,0.7,0.9,0.8,0.3,0.1,0.4,1.1,3.2,-4.1
John Collins,PF,41,41,33.2,8.6,0.583,1.4,0.401,7.2,0.642,0.632,2.9,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6,3.1
Zach Collins,PF,11,11,26.4,2.9,0.47100000000000003,0.6,0.368,2.3,0.51,0.522,0.5,0.75,2.3,4.0,6.3,1.5,0.5,0.5,1.3,3.3,7.0,-3.1
Mike Conley,PG,47,41,29.0,4.9,0.409,2.0,0.375,2.9,0.43700000000000006,0.494,2.4,0.8270000000000001,0.7,2.5,3.2,4.4,0.8,0.1,2.0,2.2,14.4,0.3
Pat Connaughton,SG,67,4,18.6,2.0,0.455,0.8,0.331,1.2,0.607,0.547,0.5,0.775,0.9,3.3,4.2,1.6,0.4,0.5,0.8,1.0,5.4,0.6
Quinn Cook,PG,44,1,11.5,2.1,0.425,0.7,0.365,1.4,0.465,0.498,0.3,0.7859999999999999,0.3,0.9,1.2,1.1,0.3,0.0,0.8,0.6,5.1,-3.8
Tyler Cook,PF,13,0,4.2,0.6,0.667,0.0,,0.6,0.667,0.667,0.5,0.875,0.5,0.6,1.1,0.1,0.2,0.0,0.2,0.4,1.8,-0.4
Robert Covington,PF-C,70,68,30.5,4.4,0.42200000000000004,2.3,0.335,2.1,0.593,0.5329999999999999,1.4,0.7979999999999999,0.9,5.7,6.6,1.3,1.6,1.3,1.5,3.1,12.4,0.0
Allen Crabbe,SG,37,1,17.6,1.7,0.35600000000000004,1.0,0.303,0.7,0.466,0.45799999999999996,0.3,0.7140000000000001,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6,-5.3
Torrey Craig,SF,58,27,18.5,2.1,0.461,0.8,0.326,1.4,0.603,0.545,0.4,0.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4,-2.3
Jamal Crawford,SG,1,0,6.0,2.0,0.5,1.0,0.5,1.0,0.5,0.625,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,15.0
Jae Crowder,SF,65,53,28.8,3.5,0.401,2.1,0.34299999999999997,1.4,0.5379999999999999,0.521,1.5,0.7759999999999999,0.8,5.1,5.9,2.5,1.1,0.4,1.1,2.2,10.5,-0.1
Jarrett Culver,SG,63,35,23.9,3.7,0.40399999999999997,1.0,0.299,2.6,0.47100000000000003,0.462,0.9,0.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2,-4.0
Seth Curry,SG,64,25,24.6,4.4,0.495,2.3,0.452,2.2,0.5489999999999999,0.621,1.3,0.825,0.4,1.8,2.3,1.9,0.6,0.1,1.0,1.8,12.4,0.8
Stephen Curry,PG,5,5,27.8,6.6,0.402,2.4,0.245,4.2,0.636,0.47600000000000003,5.2,1.0,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,3.9
Troy Daniels,SG,47,0,11.3,1.5,0.387,1.0,0.348,0.6,0.48100000000000004,0.511,0.2,0.625,0.3,0.9,1.1,0.4,0.2,0.1,0.3,0.8,4.3,-2.9
Anthony Davis,PF,62,62,34.4,8.9,0.503,1.2,0.33,7.7,0.546,0.536,7.2,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,8.0
Ed Davis,C,28,1,10.8,0.8,0.478,0.0,,0.8,0.478,0.478,0.3,0.5,1.3,2.5,3.8,0.4,0.4,0.3,0.5,2.2,1.8,-3.2
Terence Davis,SG,72,4,16.8,2.8,0.456,1.3,0.38799999999999996,1.5,0.541,0.564,0.7,0.8640000000000001,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5,0.8
Dewayne Dedmon,C,44,18,17.6,2.3,0.4,0.5,0.20600000000000002,1.8,0.541,0.44299999999999995,0.7,0.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8,-5.8
Matthew Dellavedova,PG,57,4,14.4,1.1,0.354,0.4,0.231,0.7,0.488,0.414,0.6,0.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1,-5.2
DeMar DeRozan,SF,68,68,34.1,8.2,0.531,0.1,0.257,8.1,0.54,0.535,5.6,0.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1,1.9
Cheick Diallo,C,47,2,10.2,2.0,0.648,0.0,0.33299999999999996,1.9,0.655,0.6509999999999999,0.7,0.872,0.6,2.1,2.8,0.5,0.2,0.3,0.7,1.2,4.7,-1.3
Hamidou Diallo,SF,46,3,19.5,2.9,0.446,0.3,0.281,2.5,0.485,0.473,0.8,0.603,1.0,2.7,3.6,0.8,0.8,0.2,1.1,2.2,6.9,-3.9
Gorgui Dieng,C,63,17,17.4,2.6,0.456,0.9,0.355,1.8,0.528,0.53,1.2,0.772,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0,7.4,1.5
Spencer Dinwiddie,SG,64,49,31.2,6.6,0.415,1.9,0.308,4.7,0.485,0.47600000000000003,5.4,0.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6,1.8
Donte DiVincenzo,SG,66,24,23.0,3.5,0.455,1.3,0.336,2.3,0.5670000000000001,0.536,1.0,0.733,1.0,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2,1.3
Luka Dončić,PG,61,61,33.6,9.5,0.46299999999999997,2.8,0.316,6.7,0.574,0.531,7.0,0.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5,28.8,8.4
Luguentz Dort,SG,36,28,22.8,2.4,0.39399999999999996,0.8,0.297,1.6,0.479,0.46299999999999997,1.2,0.792,0.7,1.6,2.3,0.8,0.9,0.1,0.6,2.7,6.8,-3.7
Damyean Dotson,SG,48,0,17.4,2.5,0.414,1.2,0.36200000000000004,1.3,0.48,0.516,0.5,0.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7,-1.5
Sekou Doumbouya,SF,38,19,19.8,2.4,0.39,0.7,0.28600000000000003,1.7,0.46399999999999997,0.449,0.8,0.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4,-6.7
PJ Dozier,PG,29,0,14.2,2.2,0.414,0.6,0.34700000000000003,1.7,0.444,0.46799999999999997,0.7,0.7240000000000001,0.3,1.6,1.9,2.2,0.5,0.2,0.9,1.6,5.8,-3.9
Goran Dragić,PG,59,3,28.2,5.4,0.441,2.1,0.36700000000000005,3.3,0.505,0.526,3.2,0.7759999999999999,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2,-0.1
Andre Drummond,C,57,56,33.0,7.3,0.5329999999999999,0.1,0.14300000000000002,7.2,0.551,0.536,3.0,0.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7,0.9
Jared Dudley,SF,45,1,8.1,0.5,0.4,0.4,0.429,0.1,0.33299999999999996,0.55,0.0,1.0,0.1,1.0,1.2,0.6,0.3,0.1,0.2,0.9,1.5,-0.8
Kris Dunn,PG,51,32,24.9,3.0,0.444,0.6,0.259,2.4,0.535,0.48700000000000004,0.8,0.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3,-0.6
Carsen Edwards,SG,37,0,9.5,1.1,0.32799999999999996,0.6,0.316,0.5,0.34600000000000003,0.42200000000000004,0.4,0.684,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,3.3,-4.6
Henry Ellenson,PF,5,0,3.0,0.2,0.14300000000000002,0.0,0.0,0.2,0.33299999999999996,0.14300000000000002,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4,-10.9
Wayne Ellington,SG,36,1,15.5,1.7,0.35100000000000003,1.4,0.35,0.3,0.355,0.494,0.3,0.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1,-2.9
Joel Embiid,C,51,51,29.5,7.5,0.47700000000000004,1.1,0.331,6.4,0.517,0.512,6.9,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,4.7
James Ennis,SF,69,18,18.3,2.3,0.446,0.8,0.325,1.5,0.5529999999999999,0.522,1.1,0.8059999999999999,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6,-2.6
Drew Eubanks,PF,22,3,12.4,2.0,0.642,0.0,1.0,1.9,0.636,0.649,0.9,0.769,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9,-1.7
Jacob Evans,SG,29,1,14.4,1.6,0.336,0.4,0.33299999999999996,1.1,0.337,0.384,0.9,0.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4,-7.1
