Player,Pos,G,GS,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Iman Shumpert,SG,13,0,18.5,1.6,0.32799999999999996,0.6,0.242,1.0,0.419,0.391,0.3,0.5710000000000001,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2,-5.5
Pascal Siakam,PF,60,60,35.2,8.3,0.45299999999999996,2.2,0.359,6.2,0.499,0.512,4.0,0.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8,22.9,1.8
Chris Silva,PF,44,0,7.9,1.1,0.615,0.0,0.0,1.1,0.64,0.615,0.8,0.6729999999999999,1.4,1.5,2.9,0.5,0.2,0.5,0.7,1.9,3.0,-2.3
Ben Simmons,PG,57,57,35.4,6.6,0.58,0.0,0.28600000000000003,6.5,0.583,0.581,3.2,0.621,2.0,5.8,7.8,8.0,2.1,0.6,3.5,3.3,16.4,3.6
Anfernee Simons,SG,70,4,20.7,3.1,0.39899999999999997,1.1,0.332,2.0,0.44799999999999995,0.469,1.1,0.826,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,8.3,-4.5
Alen Smailagić,PF,14,0,9.9,1.4,0.5,0.2,0.231,1.2,0.63,0.5379999999999999,1.1,0.8420000000000001,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0,4.2,-2.2
Marcus Smart,SG,60,40,32.0,4.3,0.375,2.3,0.34700000000000003,2.0,0.415,0.47600000000000003,2.1,0.836,0.7,3.1,3.8,4.9,1.7,0.5,1.7,2.7,12.9,1.4
Dennis Smith Jr.,PG,34,3,15.8,2.1,0.341,0.5,0.29600000000000004,1.6,0.35700000000000004,0.379,0.8,0.509,0.6,1.7,2.3,2.9,0.8,0.2,1.7,1.9,5.5,-6.1
Ish Smith,PG,68,23,26.3,4.5,0.447,0.9,0.36700000000000005,3.6,0.473,0.49200000000000005,0.9,0.721,0.4,2.8,3.2,4.9,0.9,0.4,1.4,1.6,10.9,-1.3
J.R. Smith,SG,6,0,13.2,1.2,0.318,0.2,0.091,1.0,0.545,0.341,0.3,1.0,0.0,0.8,0.8,0.5,0.2,0.0,0.7,0.8,2.8,-9.8
Zhaire Smith,SG,7,0,4.6,0.4,0.273,0.0,0.0,0.4,0.375,0.273,0.3,0.5,0.0,0.3,0.3,0.3,0.4,0.0,0.3,0.6,1.1,-10.0
Tony Snell,SF,59,57,27.8,2.9,0.445,1.7,0.402,1.2,0.531,0.579,0.5,1.0,0.2,1.7,1.9,2.2,0.5,0.3,0.5,1.7,8.0,-1.8
Omari Spellman,PF,49,3,18.1,2.6,0.431,0.9,0.391,1.7,0.45399999999999996,0.503,1.5,0.7929999999999999,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6,-1.7
Max Strus,SG,2,0,3.0,1.0,0.667,0.0,0.0,1.0,1.0,0.667,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5,4.4
Edmond Sumner,PG,31,3,14.4,2.0,0.43,0.5,0.264,1.5,0.528,0.479,0.5,0.552,0.4,1.1,1.5,1.8,0.5,0.3,0.7,1.4,4.9,-3.0
Caleb Swanigan,PF,27,1,10.7,1.0,0.596,0.0,0.0,1.0,0.622,0.596,0.3,0.529,1.0,2.7,3.7,1.1,0.1,0.3,1.4,2.3,2.4,-6.0
Jayson Tatum,PF,66,66,34.3,8.4,0.45,2.9,0.40299999999999997,5.5,0.48,0.527,3.8,0.812,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1,23.4,4.0
Jeff Teague,PG,59,17,24.8,3.6,0.436,0.7,0.368,2.9,0.457,0.48,2.9,0.873,0.5,1.9,2.4,5.2,0.7,0.3,2.0,1.8,10.9,-1.5
Garrett Temple,SG,62,35,27.9,3.6,0.37799999999999995,2.0,0.32899999999999996,1.5,0.473,0.486,1.1,0.805,0.5,3.0,3.5,2.5,0.8,0.5,1.0,1.7,10.3,-1.1
Daniel Theis,C,65,64,24.1,3.7,0.5660000000000001,0.5,0.33299999999999996,3.2,0.633,0.603,1.3,0.763,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,9.2,2.4
Isaiah Thomas,PG,40,37,23.1,4.4,0.408,2.0,0.413,2.4,0.405,0.5,1.6,0.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2,-4.3
Khyri Thomas,SG,8,0,7.6,0.6,0.294,0.6,0.35700000000000004,0.0,0.0,0.441,0.3,0.5,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.1,2.1,-7.9
Lance Thomas,SF,7,4,14.0,1.1,0.348,0.6,0.308,0.6,0.4,0.435,0.6,1.0,0.3,1.6,1.9,0.9,0.0,0.0,0.9,1.6,3.4,-8.3
Matt Thomas,SG,41,1,10.7,1.8,0.48700000000000004,1.1,0.475,0.6,0.51,0.643,0.2,0.75,0.2,1.3,1.5,0.5,0.2,0.0,0.4,0.9,4.9,1.1
Tristan Thompson,C,57,51,30.2,5.1,0.512,0.2,0.391,4.9,0.518,0.52,1.7,0.615,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12.0,-1.5
